Label,Alanine,Asparagine,Aspartic acid,Citrulline,Glutamic acid,Glycine,Isoleucine,Leucine,Methionine sulfoxide,Phenylalanine,Proline,Serine,Taurine,Threonine,Tyrosine dimer,Valine,Arginine,Lysine,Histidine,Tryptophan,Ornithine,Lithochollic acid,Chenodeoxycholic acid,Cholic acid,Glycodeoxycholic acid,Taurochenodeoxychollic acid,Deoxycholic acid,Glycocholic acid,Glycochenodeoxycholic acid,Taurodeoxycholic acid,Taurochlic acid,Palmitic acid,Palmitoleic acid,Stearic acid,Oleic acid,Linoleic acid,Myristic acid,Myristoleic acid,Lauric acid,Pentadecanoic acid,Caproic acid,Caprylic acid,Capric acid,Margaric acid,Heptadecenoic acid,Acetic acid,Propionic acid,Butyric acid,Valeric acid
ZB97,1.16,0,0.4,0.7,3.97,0.15,0,0,0.3,0.17,0.23,0.11,0.13,0.12,1.09,0.12,0,0.29,0,0,0,370.3,0,0,0.45,1.5,1.57,0,9.44,9.99,3.09,13.57,1.38,8.99,460.36,78.9,2213.8,0.02,90.6,2505.6,699.35,1.06,0.64,199.14,0.25,12.57,13.28,9.95,6.07
ZB102,23.16,0,2.53,0,36.34,0.83,1.31,1.31,2.09,1.32,4.37,0.84,0,0.24,1.09,3.05,0,0.73,0,0,0,330.54,9.03,0,0.9,4.5,13.35,0,2.7,3,3.09,3.37,6,2.13,110.65,18.97,416.3,0.03,13.23,535.35,17.6,0.11,0.08,145.1,0.07,2.5,2.23,1.72,1.03
ZB81,6.59,0.13,2.4,1.05,41.78,0.3,0.66,0.66,0.15,4.13,13.82,0.32,0,0.36,29.54,0.7,0.17,0.15,0,0,0,364.14,2.75,0,0.45,1,2.36,0,0.9,6.5,14.96,3.14,0.82,2.4,99.83,17.11,433.8,0.02,15.45,508.26,13.91,0.07,0.16,176.07,0.16,2.06,1.78,1.33,0.89
ZB88,12.65,0.13,2.26,0.7,31.34,0.45,1.44,1.44,0.9,5.29,3.91,0.32,0,0.48,60.7,1.76,0.17,0.58,0,0,0,825.99,0,0,6.74,2,62.42,0,19.33,12.49,6.19,13.06,2.26,11.11,398.25,68.27,1221,0.1,61.53,1179.91,3.69,0.58,0.46,75.69,0.23,4.38,3.44,2.78,2.11
ZB89,11.58,0.13,2.66,0.88,21.92,0.45,1.05,1.05,1.19,3.3,13.01,0.63,0.13,0.12,30.62,2.23,0.17,0.44,0.16,0,0,241.23,3.93,0,0.9,2,3.93,0,9.44,18.49,7.22,4.52,1.96,3.08,209.44,35.93,630.2,0.04,36.75,637.35,0.93,0.22,0.18,100.3,0.2,1.54,1.36,0.96,0.6
ZB98,4.28,0,0.67,1.05,26.34,0.15,0.66,0.66,1.19,4.79,6.56,0.11,0,0.12,2.9,0.7,0.17,0.44,0,0,0,352.05,2.36,0,0.45,2,2.75,0,12.14,3.5,4.64,3.04,0.74,1.84,110.07,18.87,501,0.02,15.63,596.24,16.79,0.1,0.12,165.63,0.18,2.08,1.82,1.42,0.92
ZB105,6.33,0,0.8,0,15.74,0.3,1.05,1.05,0.15,4.63,1.61,0.21,0,0.24,2.54,1.29,0,0.29,0.16,0,0,773.28,29.44,0,15.29,1,68.7,0,26.08,7.5,6.7,11.33,1.72,10.9,372.71,63.88,1109.3,0.03,62.64,1086.06,2.67,0.32,0.4,89.66,0.21,3.42,2.42,2.14,1.42
ZB106,6.59,0,1.2,0,14.86,0.38,0.66,0.66,0,3.3,4.26,0.21,0,0.12,1.09,1.17,0,0.15,0,0,0,255.96,0,0,0.9,2.5,4.71,0,5.85,24.99,8.25,3.18,3.6,1.89,222.91,38.21,570.3,0.04,41.25,573.47,0.83,0.11,0.22,105.11,0.21,1.48,1.4,1.05,0.59
ZB1,20.85,0.53,3.33,0.18,37.22,112.98,16.4,16.4,0.45,26.76,5.99,0.63,0.38,2.14,108.72,17.92,7.49,18.42,2.02,0,0,3.41,417.63,595.37,54.13,39.98,620.71,146.8,150.64,113.05,11.35,2.48,0.38,2.23,45.88,7.87,30.8,0,3.15,0.18,0.86,0.23,0.02,1.86,0.03,0.97,0.14,0.3,3.88
ZB2,12.21,0.13,1.86,0.18,12.36,80.85,4.2,4.2,0.3,11.73,8.17,0.21,1.13,0.24,55.63,2.69,5.05,13.45,0.16,0,0,5.15,449.75,526.71,340.73,26727.99,668.94,254.39,931.99,494.23,65.6,0.99,0.54,0.79,50.24,8.61,15.6,0,0.96,1.49,0.65,0.06,0,1.25,0.05,0.86,1.1,0.51,266.46
ZB3,22.45,0.92,7.99,0,48.26,105.92,23.61,23.61,0.75,37.34,10.59,2.31,0.5,4.76,138.26,22.14,8.01,30.12,2.02,0.16,0,17.54,1043.04,1481.82,219.39,141.92,1550.82,339.48,608.6,104.11,31.93,3.16,1.12,2.31,89.81,15.37,13.6,0.02,1.86,0.29,1.02,0.15,0.06,1.13,0.05,0.98,0.21,0.26,3.57
ZB4,23.25,0.66,7.99,0.18,48.11,11.04,21.25,21.25,0.45,30.73,0.58,1.89,0.5,6.43,132.64,22.49,6.1,26.31,0.93,0.16,0,0.59,62.18,468.44,1.05,21.99,92.37,0.26,2.9,0.31,2.35,3.91,0.84,3.05,71.55,12.27,19.2,0.01,8.43,0.27,6.54,0.26,0.04,3.56,0.09,1.43,0.22,0.52,18.28
ZB5,18.71,0.26,7.72,0.18,40.76,33.86,17.58,17.58,0.3,27.42,1.38,0.74,1.13,2.5,111.26,15,4.53,18.71,1.4,0.16,0,0.14,39.92,391.57,2.07,24.99,59.34,4.02,5.7,34.75,5.6,1.56,1.08,1.3,37.03,6.35,12.2,0.01,2.43,0.32,0.72,0.11,0.04,2.23,0.02,1.84,0.75,0.72,28.29
ZB6,29.13,1.19,3.59,0.18,37.37,153.07,25.19,25.19,0.6,37.67,14.74,1.79,0.5,3.1,151.66,24.48,12.54,26.9,1.4,0.16,0,8.74,1048.17,1546.48,270.81,780.55,1557.98,502.98,749.82,360.82,125.08,2.99,0.48,2.82,93.55,16.03,16.1,0.01,4.17,0.21,3.12,0.22,0.04,3.33,0.08,0.98,0.1,0.22,14.09
ZB7,27.8,0.53,9.72,0.18,146.98,53.75,28.86,28.86,0.15,42.62,2.3,1.58,0.13,5,182.47,30.69,8.88,26.02,2.17,0.16,0,0.08,179.94,449.03,13.61,14.99,267.38,29.2,37.87,2.74,1.31,2.54,0.54,2.01,93.99,16.14,16,0.02,2.1,0.2,0.59,0.1,0.04,1.95,0.07,0.94,0.2,0.25,1.53
ZB8,22.27,0.53,5.72,0.35,238.35,34.68,16.53,16.53,0.45,29.57,5.53,0.63,0.25,1.43,128.11,15.93,5.23,15.06,0.78,0.16,0,0.12,15.79,336,0.66,3.5,23.48,3.76,1.83,0.63,0.51,2.25,1.84,2.09,50.92,8.73,20.4,0,4.83,0.33,0.65,0.15,0.08,2.16,0.05,1.3,0.26,0.52,10.72
ZB9,21.2,0.4,4.26,0.18,30.16,78,16.27,16.27,0.45,28.74,1.04,1.37,1.13,1.79,129.38,14.64,7.32,24.56,1.24,0.16,0,39.87,1308.19,1250.78,396.05,779.55,1944.27,291.75,1096.68,286.54,58.64,2.67,0.38,2.36,48.63,8.34,15.7,0,2.1,0.2,0.48,0.08,0.04,2.91,0.02,1.59,0.15,0.57,2.66
ZB10,29.49,0.66,16.51,0.18,94.6,58.55,26.89,26.89,0.6,39.65,11.63,2.73,0.38,5.12,165.07,25.77,6.45,28.51,1.4,0.16,0,0.4,75.1,784.48,1.54,4,111.6,8.68,4.29,9.44,8.53,2.68,2.28,2.18,60.42,10.36,19.3,0,2.97,0.32,0.63,0.19,0.04,1.72,0.07,1.93,0.84,0.87,17.87
ZB11,31.72,1.59,73.48,0,406.67,170.56,23.61,23.61,0.6,31.39,31.2,1.16,0.5,9.05,123.58,25.77,8.71,36.26,6.36,0.16,0,0.5,359.34,419.89,15.06,160.91,533.88,149.31,41.91,156.82,10.58,3.07,0.74,2.57,83.55,14.32,18.6,0.02,2.52,0.26,1.07,0.08,0.08,3.29,0.07,0.39,0.12,0.13,1.74
ZB12,18.53,0.13,0.13,0.35,70.77,83.4,1.71,1.71,0,3.96,21.53,0.21,0.63,0.24,18.84,1.29,0.35,2.19,0,0,0,0.01,5.42,123.6,0.05,7,8.05,0,0.12,0.16,0.03,1.09,4.7,0.9,19.27,3.3,18.9,0.01,13.53,0.78,0.32,0.08,0.1,2.84,0.05,0.62,0.91,0.29,1.12
ZB13,22.99,0.53,1.46,0,19.57,37.31,20.33,20.33,0.3,32.71,0.35,0.63,0.63,1.31,140.07,17.57,3.14,13.89,0.93,0,0,1.99,258.05,835.08,27.28,174.9,383.43,81.63,76.03,52.98,82.3,1.41,0.24,1.48,35.94,6.16,10.8,0,1.65,0.13,0.41,0.06,0.02,1.45,0.01,1.2,0.3,0.36,3.68
ZB14,70.74,23.39,114.34,0.7,547.91,199.39,25.84,25.84,0.9,32.21,165.1,59.9,0.13,49.79,147.5,32.69,47.38,137.71,18.46,0.16,0,0.11,27.61,44.24,6.06,287.33,41.08,528.11,16.88,161.05,7.15,0.98,4.14,0.74,30.58,5.24,7.6,0.01,0.75,0.12,0.41,0.05,0.02,3,0.06,0.15,0.08,0.01,0.51
ZB15,25.12,1.59,13.98,0,79.6,53.98,27.28,27.28,0.9,37.83,4.14,1.89,0.13,4.76,171.23,26.01,8.71,32.45,1.71,0.16,0,0.66,216.6,1309.7,39.74,14.49,321.93,198.91,110.67,14.68,11.88,2.47,0.56,2.19,57.15,9.8,18.3,0.01,2.19,0.34,22.31,0.26,0.04,3.06,0.02,1.38,0.22,0.54,75.78
ZB16,30.02,2.91,60.03,0.18,343.11,181.22,17.18,17.18,0.3,19.99,47.2,1.89,0.25,6.19,61.97,18.86,2.79,18.86,4.19,0,0,0.08,110.77,137.14,0,2,164.6,14.89,0.06,2.49,0.29,2.78,10.1,1.63,34.16,5.86,47.3,0.05,25.38,1.03,0.84,0.13,0.18,2.08,0.09,0.25,0.09,0.01,0.51
ZB17,32.43,0.66,3.73,0,24.13,48.8,21.38,21.38,0.6,27.59,13.36,0.74,0.25,2.98,93.86,22.96,3.14,10.53,1.09,0,0,0.01,10.48,445.63,0,11.99,15.56,1.73,0.17,1.33,2.41,1.4,0.22,1.02,44.38,7.61,8.4,0,1.2,0.06,0.32,0.07,0.02,1.02,0.01,0.81,0.25,0.23,1.33
ZB18,39.65,2.11,6.52,0,50.47,72.07,39.22,39.22,1.49,47.91,11.74,2.73,0.75,7.86,206.02,37.25,9.76,24.27,1.55,0.16,0,0.19,106,831.33,43.38,65.96,157.59,200.3,120.84,39.02,14.89,1.87,0.52,1.65,54.78,9.4,17.5,0.01,4.74,0.56,0.44,0.11,0.06,2.79,0.02,1.43,0.28,0.56,3.88
ZB20,46.24,0.66,4.26,0,69.74,82.28,45.26,45.26,0.9,82.1,44.79,1.58,1.63,2.5,301.34,31.51,14.28,60.08,4.19,0.31,0,24.12,257.82,99.44,4.35,1296.25,382.99,0,12.12,139.34,1.56,0.97,6.08,0.68,25.04,4.3,18.6,0.02,9.66,5.84,0.21,0.05,0.04,1.58,0.02,1.34,1.53,0.51,168.41
ZB22,65.12,6.47,6.52,2.28,165.96,98.57,97.99,97.99,1.34,142.4,11.86,3.99,8.01,20.85,468.22,77.67,49.12,94.44,15.52,0.62,0,0.29,197.36,436.22,70.35,13104.4,293.58,112.03,195.95,53.35,139.55,1.9,1.56,1.41,63.25,10.84,16.9,0.01,3.63,0.3,0.45,0.08,0.06,1.9,0.01,0.67,0.13,0.09,1.74
ZB30,45.26,3.44,2.13,0.35,103.58,332.86,79.89,79.89,2.24,102.26,5.64,0.95,1.63,2.26,422.74,50.26,24.21,43.56,6.98,0.16,0,0.1,374.21,1041.44,79.02,1259.27,555.87,1069.38,220.28,449.09,455.12,0.63,0.04,0.48,13.98,2.4,5.4,0,0.45,0.04,0.15,0.03,0,0.71,0,0.5,0.05,0.05,0.41
ZB38,124.19,0.4,8.25,0.35,231.58,186.62,35.29,35.29,0.75,84.91,79.32,1.89,3.75,2.74,179.75,40.42,7.49,21.64,2.64,0.16,0,30.31,442.28,150.52,0.13,97.94,657.05,0,0.37,32.46,0.41,0.54,2.44,0.4,30.32,5.2,5.7,0,5.22,12.4,0.15,0.03,0,1.5,0.05,2.44,2.95,1.17,557.94
ZB39,140.94,5.28,12.78,1.23,105.64,203.74,166.07,166.07,3.58,180.4,5.99,3.05,9.39,19.18,595.6,132.85,16.55,74.12,10.09,0.47,0,0.21,182.88,597.78,1.15,403.27,272.12,2.8,3.21,10.89,131.9,2.39,10.82,1.93,86.88,14.89,31.2,0.03,35.73,1.65,1.58,0.15,0.04,6.73,0.17,0.77,0.28,0.18,13.28
ZB47,80.54,3.17,9.45,0,161.55,143.53,95.1,95.1,2.98,98.13,3.22,1.68,2.38,4.05,460.07,75.33,6.97,33.77,2.95,0.31,0.13,0.05,92.98,562.17,0.09,13.99,138.12,13.26,0.25,15.99,11.31,0.68,0.28,0.54,24.92,4.27,4.9,0,4.05,0.1,0.48,0.02,0.02,0.49,0.01,1.25,0.19,0.51,18.59
ZB21,22.63,2.91,7.99,0,132.42,47.67,48.93,48.93,0.45,55.84,4.14,0.74,0.5,4.29,202.4,34.79,13.24,32.45,4.81,0.16,0,0.05,168.14,231.16,1.36,148.91,249.81,1.28,3.79,81.01,17.94,0.64,0.06,0.56,21.14,3.62,4.8,0,0.42,0.09,0.93,0.04,0,0.64,0.01,0.44,0.12,0.08,15.83
ZB25,35.46,4.49,5.06,0,115.79,89.11,69.39,69.39,1.64,101.1,6.91,1.58,0.75,5.84,374,52.02,27.52,48.39,8.22,0.31,0,0.07,237.65,291.12,77.99,1155.83,353.18,70.3,217.39,116.21,8.99,1.66,0.18,1.29,64.87,11.12,13.5,0,1.5,0.14,0.32,0.07,0.02,2.25,0.02,0.44,0.08,0.01,0.51
ZB34,163.57,139.65,360.46,0.18,3414,269.88,338.83,338.83,5.82,416.3,237.4,141.56,0,83.98,1585.14,232.08,262.52,166.95,69.04,1.55,0,0.07,35.61,0,334.02,20598.55,52.91,357.67,930.18,264.7,11.25,0.71,0.1,0.55,28.05,4.81,5.1,0,0.27,0.05,0.17,0.03,0,0.75,0,0.11,0.06,0,0.51
ZB42,163.84,15.99,47.52,0.35,725.94,353.28,290.55,290.55,4.33,302.48,41.56,4.52,2.5,32.4,1193.75,220.48,64.63,102.63,20.95,0.47,0,0.11,322.87,380.48,4.24,326.81,479.82,3.92,11.83,135.58,30.45,0.85,0.18,0.75,36.67,6.29,6.5,0,0.66,0.15,1.64,0.06,0,0.98,0.01,0.58,0.16,0.12,30.03
ZB51,83.12,14,79.47,0.35,762.28,208.84,117.93,117.93,1.34,138.93,54,12.09,0.38,15.84,555.56,87.51,20.9,31.72,11.64,0.47,0,14.27,239.17,55.3,100.29,24075.53,355.27,342.22,279.65,399.45,66.16,2.41,0.5,1.41,82.04,14.06,23.9,0.01,34.05,0.16,2.34,0.14,0.02,1.37,0.01,0.49,0.14,0.09,9.6
ZB19,22.18,1.06,0.8,0,6.92,100.97,28.73,28.73,0.45,50.22,3.22,0.63,0.63,0.83,215.08,19.33,18.47,16.37,1.86,0.16,0,0.05,46.7,687.76,22.12,52.47,69.44,204.47,61.61,100.09,25.94,1.18,0.1,1.03,31.58,5.41,9.1,0.01,4.5,0.12,0.24,0.06,0.02,1.4,0.02,0.81,0.05,0.07,0.71
ZB23,13.54,0.26,0.4,0.35,2.65,119.96,19.15,19.15,0.45,31.22,0.46,0.21,0.13,0.6,117.06,14.88,2.44,5.99,1.71,0.16,0,0.68,391.58,934.34,88.02,504.71,581.94,438.71,245.24,228.92,67.8,1.82,0.12,1.54,34.74,5.96,16.6,0,1.56,0.19,0.42,0.1,0.04,1.67,0.01,0.72,0.13,0.02,0.61
ZB31,20.05,0.66,0.53,0.18,6.92,51.65,16.4,16.4,0.3,23.46,1.04,0.74,0.38,1.19,83.17,17.81,0.87,1.32,0.47,0,0,0.01,19.7,337.51,1.01,73.96,29.31,96.6,2.83,6.07,14.64,0.44,0.02,0.35,4.57,0.78,2.5,0,0.24,0.03,0.11,0.04,0.02,0.29,0,0.31,0.12,0.03,1.12
ZB37,84.55,0.92,29.28,0,259.24,242.48,71.75,71.75,0.75,96.48,4.14,1.89,0.5,2.62,335.94,56,7.84,12.28,2.17,0.16,0.13,0.08,66.77,555.94,0.59,7.5,99.29,5.31,1.66,21.12,6.42,0.91,0.1,0.61,33.9,5.81,6.6,0,0.6,0.07,0.29,0.05,0,1.13,0,1,0.19,0.25,13.79
