ASV_ID,ZB1,ZB2,ZB3,ZB4,ZB5,ZB6,ZB7,ZB8,ZB9,ZB10,ZB11,ZB12,ZB13,ZB14,ZB15,ZB16,ZB17,ZB18,ZB19,ZB20,ZB21,ZB22,ZB23,ZB24,ZB25,ZB26,ZB27,ZB28,ZB29,ZB30,ZB31,ZB32,ZB33,ZB34,ZB35,ZB36,ZB37,ZB38,ZB39,ZB40,ZB41,ZB42,ZB43,ZB44,ZB45,ZB46,ZB47,ZB48,ZB49,ZB50,ZB51,ZB52,ZB53,ZB54,ZB55,ZB56,ZB57,ZB58,ZB59,ZB60,ZB61,ZB62,ZB63,ZB64,ZB65,ZB66,ZB67,ZB68,ZB69,ZB70,ZB71,ZB72,ZB73,ZB74,ZB75,ZB76,ZB77,ZB78,ZB79,ZB80,ZB81,ZB82,ZB83,ZB84,ZB85,ZB86,ZB87,ZB88,ZB89,ZB90,ZB91,ZB92,ZB93,ZB94,ZB95,ZB96,ZB97,ZB98,ZB99,ZB100,ZB101,ZB102,ZB103,ZB104,ZB105,ZB106
ASV11,123,4024,5292,5652,1779,656,325,1601,658,6614,3591,4738,3344,283,1298,2890,3500,2112,0,5738,241,8315,709,18,40,0,800,1373,32,0,9117,285,0,315,2361,619,0,6088,12795,1654,394,180,0,298,953,60,0,4491,0,0,291,1844,125,59,524,128,478,67,13,419,32,75,1883,509,0,254,106,317,70,15,686,0,215,130,357,195,0,75,0,158,134,0,0,964,72,0,77,169,18,0,983,279,155,16,130,0,29,122,0,0,592,36,0,47,133,32
ASV12,2490,721,2558,5853,3148,1901,2712,3466,4348,1925,803,2099,2044,0,3903,577,2008,1698,2034,37,1677,337,455,164,150,5121,1138,1015,3113,966,98,403,2445,103,2144,565,1949,69,1131,1178,3016,1458,4641,332,4017,4443,6391,1450,0,5071,1190,1791,1373,200,43,288,333,98,25,364,172,531,120,398,305,334,130,949,298,38,413,200,0,130,30,126,96,80,542,135,208,294,612,48,25,211,59,813,172,212,21,46,128,207,82,287,36,267,181,327,50,19,181,36,627,258
ASV13,0,165,0,0,0,0,0,3,0,4,11,0,0,14,2,4,8,0,0,120,6,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,0,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,154,220,162,3028,481,1914,393,1988,3065,4820,160,1249,6116,877,3381,5433,851,5127,75,701,2012,3898,599,932,936,2785,595,619,1801,1952,7214,4812,2421,1405,2102,6125,1123,2496,3876,944,28,165,309,664,219,136,2383,4092,2787,709,572,4677
ASV14,149,73,214,271,519,407,927,372,378,254,294,60,380,34,485,399,549,843,5328,2023,1147,1279,4771,2068,783,8268,3071,8767,579,663,1629,2714,18073,8183,3865,9508,1049,958,732,1402,1221,815,773,417,3922,952,872,3038,34,87,60,315,391,0,0,0,6,5,0,17,0,0,0,0,0,0,0,0,0,98,0,0,0,6,0,0,0,132,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,4,0,11,0,0,0
ASV15,420,8562,983,2008,2505,348,295,771,270,1873,5557,7277,360,37,635,3630,921,438,35,5080,428,5000,1996,31,5,17,936,4725,90,9,10311,515,0,667,2995,4498,268,1852,7080,3659,1991,506,0,702,2223,132,98,2414,30,19,21,1373,1937,0,829,83,14,32,41,1308,28,82,103,461,16,19,180,52,112,0,794,0,107,42,27,17,10,20,0,8,25,209,47,65,58,88,90,8,152,0,836,35,20,31,66,0,0,45,88,24,50,38,6,30,15,262
ASV16,148,0,4,0,16,148,86,45,17,0,0,74,13,5,20,0,8,15,1970,0,187,0,51,0,97,149,0,0,6238,3078,288,10,20598,83,0,0,6725,0,0,88,0,240,88,0,0,3223,9186,454,0,13823,58,0,0,137,0,19,0,74,45,115,0,39,0,18,67,0,13,66,0,26,22,4169,0,50,0,23,0,26,28,0,0,4307,3644,168,0,6820,53,0,0,3820,0,0,31,0,50,31,0,0,2986,1585,144,0,4647,26,0,0
ASV17,77,52,143,107,296,211,430,166,201,127,150,39,156,14,238,266,225,543,3850,911,716,784,2254,1745,905,6677,6656,5185,582,563,984,5467,12963,6631,3282,7377,397,531,331,619,3861,659,345,407,3874,554,489,2411,219,79,179,756,1499,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,137,0,0,0,0,9,0,0,0,3,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,2,3
ASV18,312,0,323,261,363,192,338,1100,1018,427,0,87,0,0,415,0,200,434,8994,0,2243,155,2396,239,1465,1331,4278,4030,270,1360,713,5300,783,271,10663,9607,3836,174,214,2031,1785,1973,865,462,4119,366,1089,414,0,361,200,4708,2605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,181,0,90,0,0,67,284,119,0,0,0,165,0,0,514,302,142,0,0,85,86,0,0,0,153,0,0,0,85,0,0,432,364
ASV19,0,0,5,8,0,0,7,21,0,0,36,0,0,0,11,0,0,0,0,0,3,6,9,0,0,0,25,148,0,0,0,0,0,26,0,0,3,0,12,10,0,14,8,0,158,3,3,0,0,0,3,3,0,42,1319,1182,4012,564,0,152,143,1648,120,0,0,68,505,352,153,1596,0,5646,1399,315,2729,1436,56,114,1250,4837,6497,818,597,482,526,5237,1401,403,91,5698,7031,4055,1571,130,178,532,509,7833,639,123,354,277,3640,799,241,133
ASV20,0,0,0,204,231,148,583,2800,594,190,0,237,1629,0,0,128,2253,613,2441,311,386,120,1200,0,125,11667,11424,551,1251,0,2513,11945,1478,87,10772,1902,368,304,60,156,0,250,3853,88,118,910,174,1331,0,271,0,1977,240,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
